
时间2 (秒 s)	角2 (弧度 rad)	角速度2 (弧度/秒 rad/s)	角加速度2 (弧度/秒² rad/s²)	位置2 (米 m)	速度2 (米/秒 m/s)	加速度2 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)
13.530	0.017	0.000	-3.875E-12	4.1667E-4	0.000	-9.246E-14																																				6.765	-0.070	0.000	-174.533	-0.0017	0.000	-4.167	27.060	0.000	-0.436	-10.908	0.0000	-0.010	-0.260	5.412	0.052	0.000	0.000	0.0012	0.000	0.000	13.530	0.017	0.000	0.000	4.1667E-4	0.000	0.000	1.353	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	13.530	0.087	0.000	0.000	0.0021	0.000	0.000	13.530	0.017	0.000	0.000	4.1667E-4	0.000	0.000	13.530	-0.052	0.000	3.891E-12	-0.0012	0.000	9.194E-14	13.530	-0.157	0.000	0.000	-0.0037	0.000	0.000	13.530	-0.070	-0.873	-43.633	-0.0017	-0.021	-1.042	13.530	0.262	-0.873	43.633	0.0062	-0.021	1.042	13.530	0.349	0.000	0.000	0.0083	0.000	0.000	13.530	0.436	0.000	-43.633	0.0104	0.000	-1.042	13.530	0.471	0.000	0.000	0.0112	0.000	0.000
13.540	0.017	-0.873	-43.633	4.1667E-4	-0.021	-1.042																																				6.770	-0.070	0.000	0.000	-0.0017	0.000	0.000	27.080	-0.017	-0.436	10.908	-4.1667E-4	-0.010	0.260	5.416	0.052	0.000	0.000	0.0012	0.000	0.000	13.540	0.017	0.000	0.000	4.1667E-4	0.000	0.000	1.354	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	13.540	0.087	0.000	0.000	0.0021	0.000	0.000	13.540	0.017	0.000	0.000	4.1667E-4	0.000	0.000	13.540	-0.052	0.873	43.633	-0.0012	0.021	1.042	13.540	-0.157	0.000	0.000	-0.0037	0.000	0.000	13.540	-0.087	-0.873	43.633	-0.0021	-0.021	1.042	13.540	0.262	0.000	43.633	0.0062	0.000	1.042	13.540	0.349	0.000	0.000	0.0083	0.000	0.000	13.540	0.436	-0.873	-43.633	0.0104	-0.021	-1.042	13.540	0.471	0.000	0.000	0.0112	0.000	0.000
13.550	0.000	-0.873	0.000	0.0000	-0.021	0.000																																				6.775	-0.070	0.000	0.000	-0.0017	0.000	0.000	27.100	-0.017	0.000	10.908	-4.1667E-4	0.000	0.260	5.420	0.052	0.000	0.000	0.0012	0.000	0.000	13.550	0.017	0.000	0.000	4.1667E-4	0.000	0.000	1.355	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	13.550	0.087	0.000	0.000	0.0021	0.000	0.000	13.550	0.017	0.000	0.000	4.1667E-4	0.000	0.000	13.550	-0.035	0.873	-43.633	-8.3333E-4	0.021	-1.042	13.550	-0.157	0.000	43.633	-0.0037	0.000	1.042	13.550	-0.087	0.000	43.633	-0.0021	0.000	1.042	13.550	0.262	0.000	0.000	0.0062	0.000	0.000	13.550	0.349	0.000	0.000	0.0083	0.000	0.000	13.550	0.419	-0.873	43.633	0.0100	-0.021	1.042	13.550	0.471	0.000	0.000	0.0112	0.000	0.000
13.560	0.000	-0.873	0.000	0.0000	-0.021	0.000																																				6.780	-0.070	0.000	0.000	-0.0017	0.000	0.000	27.120	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	5.424	0.052	0.000	0.000	0.0012	0.000	0.000	13.560	0.017	0.000	0.000	4.1667E-4	0.000	0.000	1.356	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	13.560	0.087	0.000	0.000	0.0021	0.000	0.000	13.560	0.017	0.000	0.000	4.1667E-4	0.000	0.000	13.560	-0.035	0.000	-5.551E-15	-8.3333E-4	0.000	3.469E-16	13.560	-0.157	0.873	43.633	-0.0037	0.021	1.042	13.560	-0.087	0.000	0.000	-0.0021	0.000	0.000	13.560	0.262	0.000	0.000	0.0062	0.000	0.000	13.560	0.349	0.000	-43.633	0.0083	0.000	-1.042	13.560	0.419	0.000	43.633	0.0100	0.000	1.042	13.560	0.471	0.000	0.000	0.0112	0.000	0.000
13.570	-0.017	-0.873	43.633	-4.1667E-4	-0.021	1.042																																				6.785	-0.070	0.000	0.000	-0.0017	0.000	0.000	27.140	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	5.428	0.052	0.000	0.000	0.0012	0.000	0.000	13.570	0.017	0.000	0.000	4.1667E-4	0.000	0.000	1.357	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	13.570	0.087	0.000	0.000	0.0021	0.000	0.000	13.570	0.017	0.000	0.000	4.1667E-4	0.000	0.000	13.570	-0.035	0.873	43.633	-8.3333E-4	0.021	1.042	13.570	-0.140	0.873	-43.633	-0.0033	0.021	-1.042	13.570	-0.087	0.000	0.000	-0.0021	0.000	0.000	13.570	0.262	0.000	-43.633	0.0062	0.000	-1.042	13.570	0.349	-0.873	-43.633	0.0083	-0.021	-1.042	13.570	0.419	0.000	0.000	0.0100	0.000	0.000	13.570	0.471	0.000	0.000	0.0112	0.000	0.000
13.580	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000																																				6.790	-0.070	0.000	0.000	-0.0017	0.000	0.000	27.160	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	5.432	0.052	0.000	0.000	0.0012	0.000	0.000	13.580	0.017	0.000	-43.633	4.1667E-4	0.000	-1.042	1.358	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	13.580	0.087	0.000	0.000	0.0021	0.000	0.000	13.580	0.017	0.000	0.000	4.1667E-4	0.000	0.000	13.580	-0.017	0.873	-43.633	-4.1667E-4	0.021	-1.042	13.580	-0.140	0.000	-43.633	-0.0033	0.000	-1.042	13.580	-0.087	0.000	-43.633	-0.0021	0.000	-1.042	13.580	0.262	-0.873	-43.633	0.0062	-0.021	-1.042	13.580	0.332	-0.873	43.633	0.0079	-0.021	1.042	13.580	0.419	0.000	0.000	0.0100	0.000	0.000	13.580	0.471	0.000	0.000	0.0112	0.000	0.000
13.590	-0.017	-0.873	-43.633	-4.1667E-4	-0.021	-1.042																																				6.795	-0.070	0.000	0.000	-0.0017	0.000	0.000	27.180	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	5.436	0.052	0.000	0.000	0.0012	0.000	0.000	13.590	0.017	-0.873	-43.633	4.1667E-4	-0.021	-1.042	1.359	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	13.590	0.087	0.000	0.000	0.0021	0.000	0.000	13.590	0.017	0.000	0.000	4.1667E-4	0.000	0.000	13.590	-0.017	0.000	-43.633	-4.1667E-4	0.000	-1.042	13.590	-0.140	0.000	0.000	-0.0033	0.000	0.000	13.590	-0.087	-0.873	-43.633	-0.0021	-0.021	-1.042	13.590	0.244	-0.873	43.633	0.0058	-0.021	1.042	13.590	0.332	0.000	43.633	0.0079	0.000	1.042	13.590	0.419	0.000	-43.633	0.0100	0.000	-1.042	13.590	0.471	0.000	0.000	0.0112	0.000	0.000
13.600	-0.035	-0.873	43.633	-8.3333E-4	-0.021	1.042																																				6.800	-0.070	0.000	0.000	-0.0017	0.000	0.000	27.200	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	5.440	0.052	0.000	0.000	0.0012	0.000	0.000	13.600	0.000	-0.873	43.633	0.0000	-0.021	1.042	1.360	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	13.600	0.087	0.000	0.000	0.0021	0.000	0.000	13.600	0.017	0.000	0.000	4.1667E-4	0.000	0.000	13.600	-0.017	0.000	43.633	-4.1667E-4	0.000	1.042	13.600	-0.140	0.000	0.000	-0.0033	0.000	0.000	13.600	-0.105	-0.873	43.633	-0.0025	-0.021	1.042	13.600	0.244	0.000	43.633	0.0058	0.000	1.042	13.600	0.332	0.000	0.000	0.0079	0.000	0.000	13.600	0.419	-0.873	-43.633	0.0100	-0.021	-1.042	13.600	0.471	0.000	0.000	0.0112	0.000	0.000
13.610	-0.035	0.000	43.633	-8.3333E-4	0.000	1.042																																				6.805	-0.070	0.000	0.000	-0.0017	0.000	0.000	27.220	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	5.444	0.052	0.000	0.000	0.0012	0.000	0.000	13.610	0.000	0.000	43.633	0.0000	0.000	1.042	1.361	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	13.610	0.087	0.000	0.000	0.0021	0.000	0.000	13.610	0.017	0.000	0.000	4.1667E-4	0.000	0.000	13.610	-0.017	0.873	43.633	-4.1667E-4	0.021	1.042	13.610	-0.140	0.000	43.633	-0.0033	0.000	1.042	13.610	-0.105	0.000	43.633	-0.0025	0.000	1.042	13.610	0.244	0.000	-43.633	0.0058	0.000	-1.042	13.610	0.332	0.000	-43.633	0.0079	0.000	-1.042	13.610	0.401	-0.873	43.633	0.0096	-0.021	1.042	13.610	0.471	0.000	-43.633	0.0112	0.000	-1.042
13.620	-0.035	0.000	-43.633	-8.3333E-4	0.000	-1.042																																				6.810	-0.070	0.000	0.000	-0.0017	0.000	0.000	27.240	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	5.448	0.052	0.000	0.000	0.0012	0.000	0.000	13.620	0.000	0.000	0.000	0.0000	0.000	0.000	1.362	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	13.620	0.087	0.000	0.000	0.0021	0.000	0.000	13.620	0.017	0.000	0.000	4.1667E-4	0.000	0.000	13.620	0.000	0.873	-43.633	0.0000	0.021	-1.042	13.620	-0.140	0.873	43.633	-0.0033	0.021	1.042	13.620	-0.105	0.000	0.000	-0.0025	0.000	0.000	13.620	0.244	-0.873	-43.633	0.0058	-0.021	-1.042	13.620	0.332	-0.873	-43.633	0.0079	-0.021	-1.042	13.620	0.401	0.000	43.633	0.0096	0.000	1.042	13.620	0.471	-0.873	-43.633	0.0112	-0.021	-1.042
13.630	-0.035	-0.873	-43.633	-8.3333E-4	-0.021	-1.042																																				6.815	-0.070	0.000	0.000	-0.0017	0.000	0.000	27.260	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	5.452	0.052	0.000	0.000	0.0012	0.000	0.000	13.630	0.000	0.000	0.000	0.0000	0.000	0.000	1.363	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	13.630	0.087	0.000	0.000	0.0021	0.000	0.000	13.630	0.017	0.000	0.000	4.1667E-4	0.000	0.000	13.630	0.000	0.000	3.875E-12	0.0000	0.000	9.246E-14	13.630	-0.122	0.873	-43.633	-0.0029	0.021	-1.042	13.630	-0.105	0.000	0.000	-0.0025	0.000	0.000	13.630	0.227	-0.873	43.633	0.0054	-0.021	1.042	13.630	0.314	-0.873	43.633	0.0075	-0.021	1.042	13.630	0.401	0.000	-43.633	0.0096	0.000	-1.042	13.630	0.454	-0.873	43.633	0.0108	-0.021	1.042
13.640	-0.052	-0.873	43.633	-0.0012	-0.021	1.042																																				6.820	-0.070	0.000	0.000	-0.0017	0.000	0.000	27.280	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	5.456	0.052	0.000	0.000	0.0012	0.000	0.000	13.640	0.000	0.000	0.000	0.0000	0.000	0.000	1.364	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	13.640	0.087	0.000	0.000	0.0021	0.000	0.000	13.640	0.017	0.000	0.000	4.1667E-4	0.000	0.000	13.640	0.000	0.873	43.633	0.0000	0.021	1.042	13.640	-0.122	0.000	-43.633	-0.0029	0.000	-1.042	13.640	-0.105	0.000	0.000	-0.0025	0.000	0.000	13.640	0.227	0.000	43.633	0.0054	0.000	1.042	13.640	0.314	0.000	43.633	0.0075	0.000	1.042	13.640	0.401	-0.873	-43.633	0.0096	-0.021	-1.042	13.640	0.454	0.000	43.633	0.0108	0.000	1.042
13.650	-0.052	0.000	1.665E-14	-0.0012	0.000	-6.939E-16																																				6.825	-0.070	0.000	0.000	-0.0017	0.000	0.000	27.300	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	5.460	0.052	0.000	0.000	0.0012	0.000	0.000	13.650	0.000	0.000	0.000	0.0000	0.000	0.000	1.365	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	13.650	0.087	0.000	0.000	0.0021	0.000	0.000	13.650	0.017	0.000	0.000	4.1667E-4	0.000	0.000	13.650	0.017	0.873	-43.633	4.1667E-4	0.021	-1.042	13.650	-0.122	0.000	0.000	-0.0029	0.000	0.000	13.650	-0.105	0.000	-43.633	-0.0025	0.000	-1.042	13.650	0.227	0.000	-43.633	0.0054	0.000	-1.042	13.650	0.314	0.000	-43.633	0.0075	0.000	-1.042	13.650	0.384	-0.873	43.633	0.0092	-0.021	1.042	13.650	0.454	0.000	0.000	0.0108	0.000	0.000
13.660	-0.052	-0.873	-43.633	-0.0012	-0.021	-1.042																																				6.830	-0.070	0.000	0.000	-0.0017	0.000	0.000	27.320	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	5.464	0.052	0.000	0.000	0.0012	0.000	0.000	13.660	0.000	0.000	0.000	0.0000	0.000	0.000	1.366	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	13.660	0.087	0.000	0.000	0.0021	0.000	0.000	13.660	0.017	0.000	0.000	4.1667E-4	0.000	0.000	13.660	0.017	0.000	0.000	4.1667E-4	0.000	0.000	13.660	-0.122	0.000	43.633	-0.0029	0.000	1.042	13.660	-0.105	-0.873	-43.633	-0.0025	-0.021	-1.042	13.660	0.227	-0.873	-43.633	0.0054	-0.021	-1.042	13.660	0.314	-0.873	-43.633	0.0075	-0.021	-1.042	13.660	0.384	0.000	0.000	0.0092	0.000	-4.337E-15	13.660	0.454	0.000	-43.633	0.0108	0.000	-1.042
13.670	-0.070	-0.873	43.633	-0.0017	-0.021	1.042																																				6.835	-0.070	0.000	0.000	-0.0017	0.000	0.000	27.340	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	5.468	0.052	0.000	0.000	0.0012	0.000	0.000	13.670	0.000	0.000	-43.633	0.0000	0.000	-1.042	1.367	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	13.670	0.087	0.000	0.000	0.0021	0.000	0.000	13.670	0.017	0.000	0.000	4.1667E-4	0.000	0.000	13.670	0.017	0.873	43.633	4.1667E-4	0.021	1.042	13.670	-0.122	0.873	43.633	-0.0029	0.021	1.042	13.670	-0.122	-0.873	43.633	-0.0029	-0.021	1.042	13.670	0.209	-0.873	43.633	0.0050	-0.021	1.042	13.670	0.297	-0.873	43.633	0.0071	-0.021	1.042	13.670	0.384	-0.873	-43.633	0.0092	-0.021	-1.042	13.670	0.454	-0.873	-43.633	0.0108	-0.021	-1.042
13.680	-0.070	0.000	3.875E-12	-0.0017	0.000	9.263E-14																																				6.840	-0.070	0.000	0.000	-0.0017	0.000	0.000	27.360	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	5.472	0.052	0.000	0.000	0.0012	0.000	0.000	13.680	0.000	-0.873	-43.633	0.0000	-0.021	-1.042	1.368	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	13.680	0.087	0.000	0.000	0.0021	0.000	0.000	13.680	0.017	0.000	0.000	4.1667E-4	0.000	0.000	13.680	0.035	0.873	-43.633	8.3333E-4	0.021	-1.042	13.680	-0.105	0.873	-43.633	-0.0025	0.021	-1.042	13.680	-0.122	0.000	43.633	-0.0029	0.000	1.042	13.680	0.209	0.000	3.808E-12	0.0050	0.000	9.472E-14	13.680	0.297	0.000	3.880E-12	0.0071	0.000	9.263E-14	13.680	0.367	-0.873	43.633	0.0087	-0.021	1.042	13.680	0.436	-0.873	43.633	0.0104	-0.021	1.042
13.690	-0.070	-0.873	-43.633	-0.0017	-0.021	-1.042																																				6.845	-0.070	0.000	0.000	-0.0017	0.000	0.000	27.380	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	5.476	0.052	0.000	0.000	0.0012	0.000	0.000	13.690	-0.017	-0.873	43.633	-4.1667E-4	-0.021	1.042	1.369	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	13.690	0.087	0.000	0.000	0.0021	0.000	0.000	13.690	0.017	0.000	0.000	4.1667E-4	0.000	0.000	13.690	0.035	0.000	-43.633	8.3333E-4	0.000	-1.042	13.690	-0.105	0.000	-43.633	-0.0025	0.000	-1.042	13.690	-0.122	0.000	0.000	-0.0029	0.000	0.000	13.690	0.209	-0.873	-43.633	0.0050	-0.021	-1.042	13.690	0.297	-0.873	-43.633	0.0071	-0.021	-1.042	13.690	0.367	0.000	3.880E-12	0.0087	0.000	9.680E-14	13.690	0.436	0.000	43.633	0.0104	0.000	1.042
13.700	-0.087	-0.873	43.633	-0.0021	-0.021	1.042																																				6.850	-0.070	0.000	174.533	-0.0017	0.000	4.167	27.400	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	5.480	0.052	0.000	0.000	0.0012	0.000	0.000	13.700	-0.017	0.000	43.633	-4.1667E-4	0.000	1.042	1.370	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	13.700	0.087	0.000	0.000	0.0021	0.000	0.000	13.700	0.017	0.000	0.000	4.1667E-4	0.000	0.000	13.700	0.035	0.000	43.633	8.3333E-4	0.000	1.042	13.700	-0.105	0.000	43.633	-0.0025	0.000	1.042	13.700	-0.122	0.000	0.000	-0.0029	0.000	0.000	13.700	0.192	-0.873	43.633	0.0046	-0.021	1.042	13.700	0.279	-0.873	43.633	0.0067	-0.021	1.042	13.700	0.367	-0.873	-43.633	0.0087	-0.021	-1.042	13.700	0.436	0.000	-43.633	0.0104	0.000	-1.042
13.710	-0.087	0.000	43.633	-0.0021	0.000	1.042																																				6.855	-0.070	1.745	174.533	-0.0017	0.042	4.167	27.420	-0.017	0.000	10.908	-4.1667E-4	0.000	0.260	5.484	0.052	0.000	0.000	0.0012	0.000	0.000	13.710	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	1.371	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	13.710	0.087	0.000	0.000	0.0021	0.000	0.000	13.710	0.017	0.000	0.000	4.1667E-4	0.000	0.000	13.710	0.035	0.873	43.633	8.3333E-4	0.021	1.042	13.710	-0.105	0.873	43.633	-0.0025	0.021	1.042	13.710	-0.122	0.000	0.000	-0.0029	0.000	0.000	13.710	0.192	0.000	43.633	0.0046	0.000	1.042	13.710	0.279	0.000	-3.880E-12	0.0067	0.000	-9.263E-14	13.710	0.349	-0.873	43.633	0.0083	-0.021	1.042	13.710	0.436	-0.873	-43.633	0.0104	-0.021	-1.042
13.720	-0.087	0.000	-43.633	-0.0021	0.000	-1.042																																				6.860	-0.052	1.745	-174.533	-0.0012	0.042	-4.167	27.440	-0.017	0.436	10.908	-4.1667E-4	0.010	0.260	5.488	0.052	0.000	0.000	0.0012	0.000	0.000	13.720	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	1.372	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	13.720	0.087	0.000	0.000	0.0021	0.000	0.000	13.720	0.017	0.000	0.000	4.1667E-4	0.000	0.000	13.720	0.052	0.873	-43.633	0.0012	0.021	-1.042	13.720	-0.087	0.873	-43.633	-0.0021	0.021	-1.042	13.720	-0.122	0.000	0.000	-0.0029	0.000	0.000	13.720	0.192	0.000	-43.633	0.0046	0.000	-1.042	13.720	0.279	-0.873	-43.633	0.0067	-0.021	-1.042	13.720	0.349	0.000	0.000	0.0083	0.000	-4.337E-15	13.720	0.419	-0.873	43.633	0.0100	-0.021	1.042
13.730	-0.087	-0.873	-43.633	-0.0021	-0.021	-1.042																																				6.865	-0.052	0.000	-174.533	-0.0012	0.000	-4.167	27.460	0.000	0.436	-10.908	0.0000	0.010	-0.260	5.492	0.052	0.000	0.000	0.0012	0.000	0.000	13.730	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	1.373	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	13.730	0.087	0.000	0.000	0.0021	0.000	0.000	13.730	0.017	0.000	0.000	4.1667E-4	0.000	0.000	13.730	0.052	0.000	-43.633	0.0012	0.000	-1.042	13.730	-0.087	0.000	-43.633	-0.0021	0.000	-1.042	13.730	-0.122	0.000	0.000	-0.0029	0.000	0.000	13.730	0.192	-0.873	-43.633	0.0046	-0.021	-1.042	13.730	0.262	-0.873	43.633	0.0062	-0.021	1.042	13.730	0.349	-0.873	-43.633	0.0083	-0.021	-1.042	13.730	0.419	0.000	-1.388E-13	0.0100	0.000	4.337E-15
13.740	-0.105	-0.873	43.633	-0.0025	-0.021	1.042																																				6.870	-0.052	0.000	0.000	-0.0012	0.000	0.000	27.480	0.000	0.000	-10.908	0.0000	0.000	-0.260	5.496	0.052	0.000	0.000	0.0012	0.000	0.000	13.740	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	1.374	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	13.740	0.087	0.000	0.000	0.0021	0.000	0.000	13.740	0.017	0.000	0.000	4.1667E-4	0.000	0.000	13.740	0.052	0.000	43.633	0.0012	0.000	1.042	13.740	-0.087	0.000	0.000	-0.0021	0.000	0.000	13.740	-0.122	0.000	-43.633	-0.0029	0.000	-1.042	13.740	0.175	-0.873	43.633	0.0042	-0.021	1.042	13.740	0.262	0.000	7.216E-14	0.0062	0.000	0.000	13.740	0.332	-0.873	43.633	0.0079	-0.021	1.042	13.740	0.419	-0.873	-43.633	0.0100	-0.021	-1.042
13.750	-0.105	0.000	43.633	-0.0025	0.000	1.042																																				6.875	-0.052	0.000	0.000	-0.0012	0.000	0.000	27.500	0.000	0.000	0.000	0.0000	0.000	0.000	5.500	0.052	0.000	0.000	0.0012	0.000	0.000	13.750	-0.017	0.000	-43.633	-4.1667E-4	0.000	-1.042	1.375	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	13.750	0.087	0.000	-43.633	0.0021	0.000	-1.042	13.750	0.017	0.000	0.000	4.1667E-4	0.000	0.000	13.750	0.052	0.873	43.633	0.0012	0.021	1.042	13.750	-0.087	0.000	43.633	-0.0021	0.000	1.042	13.750	-0.122	-0.873	-43.633	-0.0029	-0.021	-1.042	13.750	0.175	0.000	7.216E-14	0.0042	0.000	0.000	13.750	0.262	-0.873	-43.633	0.0062	-0.021	-1.042	13.750	0.332	0.000	1.388E-13	0.0079	0.000	4.337E-15	13.750	0.401	-0.873	43.633	0.0096	-0.021	1.042
13.760	-0.105	0.000	0.000	-0.0025	0.000	0.000																																				6.880	-0.052	0.000	0.000	-0.0012	0.000	0.000	27.520	0.000	0.000	10.908	0.0000	0.000	0.260	5.504	0.052	0.000	0.000	0.0012	0.000	0.000	13.760	-0.017	-0.873	-43.633	-4.1667E-4	-0.021	-1.042	1.376	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	13.760	0.087	-0.873	-43.633	0.0021	-0.021	-1.042	13.760	0.017	0.000	0.000	4.1667E-4	0.000	0.000	13.760	0.070	0.873	-43.633	0.0017	0.021	-1.042	13.760	-0.087	0.873	43.633	-0.0021	0.021	1.042	13.760	-0.140	-0.873	43.633	-0.0033	-0.021	1.042	13.760	0.175	-0.873	-43.633	0.0042	-0.021	-1.042	13.760	0.244	-0.873	43.633	0.0058	-0.021	1.042	13.760	0.332	-0.873	-43.633	0.0079	-0.021	-1.042	13.760	0.401	0.000	3.880E-12	0.0096	0.000	9.246E-14
13.770	-0.105	0.000	-43.633	-0.0025	0.000	-1.042																																				6.885	-0.052	0.000	0.000	-0.0012	0.000	0.000	27.540	0.000	0.436	10.908	0.0000	0.010	0.260	5.508	0.052	0.000	0.000	0.0012	0.000	0.000	13.770	-0.035	-0.873	43.633	-8.3333E-4	-0.021	1.042	1.377	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	13.770	0.070	-0.873	43.633	0.0017	-0.021	1.042	13.770	0.017	0.000	0.000	4.1667E-4	0.000	0.000	13.770	0.070	0.000	-43.633	0.0017	0.000	-1.042	13.770	-0.070	0.873	-43.633	-0.0017	0.021	-1.042	13.770	-0.140	0.000	43.633	-0.0033	0.000	1.042	13.770	0.157	-0.873	43.633	0.0037	-0.021	1.042	13.770	0.244	0.000	3.808E-12	0.0058	0.000	9.263E-14	13.770	0.314	-0.873	43.633	0.0075	-0.021	1.042	13.770	0.401	-0.873	-43.633	0.0096	-0.021	-1.042
