
时间2 (秒 s)	角2 (弧度 rad)	角速度2 (弧度/秒 rad/s)	角加速度2 (弧度/秒² rad/s²)	位置2 (米 m)	速度2 (米/秒 m/s)	加速度2 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)
5.550	0.000	-0.873	1.937E-12	0.0000	-0.021	4.632E-14	5.550	0.105	0.873	43.633	0.0025	0.021	1.042	1.110	0.000	0.000	0.000	0.0000	0.000	0.000	55.500	-0.384	-0.087	1.745	-0.0092	-0.002	0.042							
5.560	0.000	-0.873	-43.633	0.0000	-0.021	-1.042	5.560	0.122	0.873	-43.633	0.0029	0.021	-1.042	1.112	0.000	0.000	0.000	0.0000	0.000	0.000	55.600	-0.384	0.087	1.309	-0.0092	0.002	0.031							
5.570	-0.017	-1.745	-1.937E-12	-4.1667E-4	-0.042	-4.632E-14	5.570	0.122	0.000	1.937E-12	0.0029	0.000	4.632E-14	1.114	0.000	0.000	0.000	0.0000	0.000	0.000	55.700	-0.367	0.175	1.309	-0.0087	0.004	0.031							
5.580	-0.035	-0.873	43.633	-8.3333E-4	-0.021	1.042	5.580	0.122	0.873	43.633	0.0029	0.021	1.042	1.116	0.000	0.000	0.000	0.0000	0.000	0.000	55.800	-0.349	0.349	1.309	-0.0083	0.008	0.031							
5.590	-0.035	-0.873	1.932E-12	-8.3333E-4	-0.021	4.649E-14	5.590	0.140	0.873	-43.633	0.0033	0.021	-1.042	1.118	0.000	0.000	0.000	0.0000	0.000	0.000	55.900	-0.297	0.436	0.436	-0.0071	0.010	0.010							
5.600	-0.052	-0.873	-1.921E-12	-0.0012	-0.021	-4.684E-14	5.600	0.140	0.000	-43.633	0.0033	0.000	-1.042	1.120	0.000	0.000	0.000	0.0000	0.000	0.000	56.000	-0.262	0.436	-7.772E-14	-0.0062	0.010	-1.874E-15							
5.610	-0.052	-0.873	-43.633	-0.0012	-0.021	-1.042	5.610	0.140	0.000	43.633	0.0033	0.000	1.042	1.122	0.000	0.000	0.000	0.0000	0.000	0.000	56.100	-0.209	0.436	-0.873	-0.0050	0.010	-0.021							
5.620	-0.070	-1.745	0.000	-0.0017	-0.042	0.000	5.620	0.140	0.873	43.633	0.0033	0.021	1.042	1.124	0.000	0.000	0.000	0.0000	0.000	0.000	56.200	-0.175	0.262	-1.745	-0.0042	0.006	-0.042							
5.630	-0.087	-0.873	43.633	-0.0021	-0.021	1.042	5.630	0.157	0.873	-43.633	0.0037	0.021	-1.042	1.126	0.000	0.000	0.000	0.0000	0.000	0.000	56.300	-0.157	0.087	-1.745	-0.0037	0.002	-0.042							
5.640	-0.087	-0.873	1.904E-12	-0.0021	-0.021	4.736E-14	5.640	0.157	0.000	-43.633	0.0037	0.000	-1.042	1.128	0.000	0.000	0.000	0.0000	0.000	0.000	56.400	-0.157	-0.087	-1.745	-0.0037	-0.002	-0.042							
5.650	-0.105	-0.873	-1.904E-12	-0.0025	-0.021	-4.736E-14	5.650	0.157	0.000	0.000	0.0037	0.000	0.000	1.130	0.000	0.000	0.000	0.0000	0.000	0.000	56.500	-0.175	-0.262	-1.309	-0.0042	-0.006	-0.031							
5.660	-0.105	-0.873	-1.904E-12	-0.0025	-0.021	-4.736E-14	5.660	0.157	0.000	43.633	0.0037	0.000	1.042	1.132	0.000	0.000	0.000	0.0000	0.000	0.000	56.600	-0.209	-0.349	-0.436	-0.0050	-0.008	-0.010							
5.670	-0.122	-0.873	1.937E-12	-0.0029	-0.021	4.632E-14	5.670	0.157	0.873	43.633	0.0037	0.021	1.042	1.134	0.000	0.000	0.000	0.0000	0.000	0.000	56.700	-0.244	-0.349	-0.436	-0.0058	-0.008	-0.010							
5.680	-0.122	-0.873	1.937E-12	-0.0029	-0.021	4.632E-14	5.680	0.175	0.873	-43.633	0.0042	0.021	-1.042	1.136	0.000	0.000	0.000	0.0000	0.000	0.000	56.800	-0.279	-0.436	-0.436	-0.0067	-0.010	-0.010							
5.690	-0.140	-0.873	-1.976E-12	-0.0033	-0.021	-4.632E-14	5.690	0.175	0.000	-43.633	0.0042	0.000	-1.042	1.138	0.000	0.000	0.000	0.0000	0.000	0.000	56.900	-0.332	-0.436	0.873	-0.0079	-0.010	0.021							
5.700	-0.140	-0.873	-1.976E-12	-0.0033	-0.021	-4.632E-14	5.700	0.175	0.000	0.000	0.0042	0.000	0.000	1.140	0.000	0.000	0.000	0.0000	0.000	0.000	57.000	-0.367	-0.262	1.745	-0.0087	-0.006	0.042							
5.710	-0.157	-0.873	2.010E-12	-0.0037	-0.021	4.632E-14	5.710	0.175	0.000	43.633	0.0042	0.000	1.042	1.142	0.000	0.000	0.000	0.0000	0.000	0.000	57.100	-0.384	-0.087	1.745	-0.0092	-0.002	0.042							
5.720	-0.157	-0.873	2.010E-12	-0.0037	-0.021	4.632E-14	5.720	0.175	0.873	43.633	0.0042	0.021	1.042	1.144	0.000	0.000	0.000	0.0000	0.000	0.000	57.200	-0.384	0.087	1.309	-0.0092	0.002	0.031							
5.730	-0.175	-0.873	43.633	-0.0042	-0.021	1.042	5.730	0.192	0.873	-43.633	0.0046	0.021	-1.042	1.146	0.000	0.000	0.000	0.0000	0.000	0.000	57.300	-0.367	0.175	1.309	-0.0087	0.004	0.031							
5.740	-0.175	0.000	-2.010E-12	-0.0042	0.000	-4.632E-14	5.740	0.192	0.000	-43.633	0.0046	0.000	-1.042	1.148	0.000	0.000	0.000	0.0000	0.000	0.000	57.400	-0.349	0.349	1.309	-0.0083	0.008	0.031							
5.750	-0.175	-0.873	-43.633	-0.0042	-0.021	-1.042	5.750	0.192	0.000	0.000	0.0046	0.000	0.000	1.150	0.000	0.000	0.000	0.0000	0.000	0.000	57.500	-0.297	0.436	0.436	-0.0071	0.010	0.010							
5.760	-0.192	-0.873	1.943E-12	-0.0046	-0.021	4.857E-14	5.760	0.192	0.000	0.000	0.0046	0.000	0.000	1.152	0.000	0.000	0.000	0.0000	0.000	0.000	57.600	-0.262	0.436		-0.0062	0.010								
5.770	-0.192	-0.873	-1.943E-12	-0.0046	-0.021	-4.406E-14	5.770	0.192	0.000	0.000	0.0046	0.000	0.000	1.154	0.000	0.000	0.000	0.0000	0.000	0.000														
5.780	-0.209	-0.873	43.633	-0.0050	-0.021	1.042	5.780	0.192	0.000	0.000	0.0046	0.000	0.000	1.156	0.000	0.000	0.000	0.0000	0.000	0.000														
5.790	-0.209	0.000	2.010E-12	-0.0050	0.000	4.406E-14	5.790	0.192	0.000	43.633	0.0046	0.000	1.042	1.158	0.000	0.000	0.000	0.0000	0.000	0.000														
5.800	-0.209	-0.873	-43.633	-0.0050	-0.021	-1.042	5.800	0.192	0.873	43.633	0.0046	0.021	1.042	1.160	0.000	0.000	0.000	0.0000	0.000	0.000														
5.810	-0.227	-0.873	43.633	-0.0054	-0.021	1.042	5.810	0.209	0.873	-43.633	0.0050	0.021	-1.042	1.162	0.000	0.000	0.000	0.0000	0.000	0.000														
5.820	-0.227	0.000	43.633	-0.0054	0.000	1.042	5.820	0.209	0.000	-43.633	0.0050	0.000	-1.042	1.164	0.000	0.000	0.000	0.0000	0.000	0.000														
5.830	-0.227	0.000	-43.633	-0.0054	0.000	-1.042	5.830	0.209	0.000	0.000	0.0050	0.000	0.000	1.166	0.000	0.000	0.000	0.0000	0.000	0.000														
5.840	-0.227	-0.873	-43.633	-0.0054	-0.021	-1.042	5.840	0.209	0.000	0.000	0.0050	0.000	0.000	1.168	0.000	0.000	0.000	0.0000	0.000	0.000														
5.850	-0.244	-0.873	43.633	-0.0058	-0.021	1.042	5.850	0.209	0.000	0.000	0.0050	0.000	0.000	1.170	0.000	0.000	0.000	0.0000	0.000	0.000														
5.860	-0.244	0.000	43.633	-0.0058	0.000	1.042	5.860	0.209	0.000	0.000	0.0050	0.000	0.000	1.172	0.000	0.000	0.000	0.0000	0.000	0.000														
5.870	-0.244	0.000	0.000	-0.0058	0.000	0.000	5.870	0.209	0.000	0.000	0.0050	0.000	0.000	1.174	0.000	0.000	0.000	0.0000	0.000	0.000														
5.880	-0.244	0.000	0.000	-0.0058	0.000	0.000	5.880	0.209	0.000	0.000	0.0050	0.000	0.000	1.176	0.000	0.000	0.000	0.0000	0.000	0.000														
5.890	-0.244	0.000	0.000	-0.0058	0.000	0.000	5.890	0.209	0.000	0.000	0.0050	0.000	0.000	1.178	0.000	0.000	0.000	0.0000	0.000	0.000														
5.900	-0.244	0.000	0.000	-0.0058	0.000	0.000	5.900	0.209	0.000	0.000	0.0050	0.000	0.000	1.180	0.000	0.000	0.000	0.0000	0.000	0.000														
5.910	-0.244	0.000	0.000	-0.0058	0.000	0.000	5.910	0.209	0.000	0.000	0.0050	0.000	0.000	1.182	0.000	0.000	0.000	0.0000	0.000	0.000														
5.920	-0.244	0.000	0.000	-0.0058	0.000	0.000	5.920	0.209	0.000	0.000	0.0050	0.000	0.000	1.184	0.000	0.000	0.000	0.0000	0.000	0.000														
5.930	-0.244	0.000	0.000	-0.0058	0.000	0.000	5.930	0.209	0.000	0.000	0.0050	0.000	0.000	1.186	0.000	0.000	0.000	0.0000	0.000	0.000														
5.940	-0.244	0.000	0.000	-0.0058	0.000	0.000	5.940	0.209	0.000	-43.633	0.0050	0.000	-1.042	1.188	0.000	0.000	0.000	0.0000	0.000	0.000														
5.950	-0.244	0.000	0.000	-0.0058	0.000	0.000	5.950	0.209	-0.873	-43.633	0.0050	-0.021	-1.042	1.190	0.000	0.000	0.000	0.0000	0.000	0.000														
5.960	-0.244	0.000	0.000	-0.0058	0.000	0.000	5.960	0.192	-0.873	43.633	0.0046	-0.021	1.042	1.192	0.000	0.000	0.000	0.0000	0.000	0.000														
5.970	-0.244	0.000	0.000	-0.0058	0.000	0.000	5.970	0.192	0.000	43.633	0.0046	0.000	1.042	1.194	0.000	0.000	0.000	0.0000	0.000	0.000														
5.980	-0.244	0.000	0.000	-0.0058	0.000	0.000	5.980	0.192	0.000	0.000	0.0046	0.000	0.000	1.196	0.000	0.000	0.000	0.0000	0.000	0.000														
5.990	-0.244	0.000	0.000	-0.0058	0.000	0.000	5.990	0.192	0.000	0.000	0.0046	0.000	0.000	1.198	0.000	0.000	0.000	0.0000	0.000	0.000														
6.000	-0.244	0.000	0.000	-0.0058	0.000	0.000	6.000	0.192	0.000	0.000	0.0046	0.000	0.000	1.200	0.000	0.000	0.000	0.0000	0.000	0.000														
6.010	-0.244	0.000	0.000	-0.0058	0.000	0.000	6.010	0.192	0.000	0.000	0.0046	0.000	0.000	1.202	0.000	0.000	0.000	0.0000	0.000	0.000														
6.020	-0.244	0.000	43.633	-0.0058	0.000	1.042	6.020	0.192	0.000	-43.633	0.0046	0.000	-1.042	1.204	0.000	0.000	0.000	0.0000	0.000	0.000														
6.030	-0.244	0.873	43.633	-0.0058	0.021	1.042	6.030	0.192	-0.873	-43.633	0.0046	-0.021	-1.042	1.206	0.000	0.000	0.000	0.0000	0.000	0.000														
6.040	-0.227	0.873	-43.633	-0.0054	0.021	-1.042	6.040	0.175	-0.873	43.633	0.0042	-0.021	1.042	1.208	0.000	0.000	0.000	0.0000	0.000	0.000														
6.050	-0.227	0.000	-2.010E-12	-0.0054	0.000	-4.632E-14	6.050	0.175	0.000	43.633	0.0042	0.000	1.042	1.210	0.000	0.000	0.000	0.0000	0.000	0.000														
6.060	-0.227	0.873	43.633	-0.0054	0.021	1.042	6.060	0.175	0.000	0.000	0.0042	0.000	0.000	1.212	0.000	0.000	0.000	0.0000	0.000	0.000														
6.070	-0.209	0.873	-43.633	-0.0050	0.021	-1.042	6.070	0.175	0.000	-43.633	0.0042	0.000	-1.042	1.214	0.000	0.000	0.000	0.0000	0.000	0.000														
6.080	-0.209	0.000	-43.633	-0.0050	0.000	-1.042	6.080	0.175	-0.873	-43.633	0.0042	-0.021	-1.042	1.216	0.000	0.000	0.000	0.0000	0.000	0.000														
6.090	-0.209	0.000	43.633	-0.0050	0.000	1.042	6.090	0.157	-0.873	43.633	0.0037	-0.021	1.042	1.218	0.000	0.000	0.000	0.0000	0.000	0.000														
6.100	-0.209	0.873	43.633	-0.0050	0.021	1.042	6.100	0.157	0.000	43.633	0.0037	0.000	1.042	1.220	0.000	0.000	0.000	0.0000	0.000	0.000														
6.110	-0.192	0.873	1.943E-12	-0.0046	0.021	4.857E-14	6.110	0.157	0.000	0.000	0.0037	0.000	0.000	1.222	0.000	0.000	0.000	0.0000	0.000	0.000														
6.120	-0.192	0.873	-1.943E-12	-0.0046	0.021	-4.406E-14	6.120	0.157	0.000	-43.633	0.0037	0.000	-1.042	1.224	0.000	0.000	0.000	0.0000	0.000	0.000														
6.130	-0.175	0.873	-43.633	-0.0042	0.021	-1.042	6.130	0.157	-0.873	-43.633	0.0037	-0.021	-1.042	1.226	0.000	0.000	0.000	0.0000	0.000	0.000														
6.140	-0.175	0.000	1.871E-12	-0.0042	0.000	4.632E-14	6.140	0.140	-0.873	43.633	0.0033	-0.021	1.042	1.228	0.000	0.000	0.000	0.0000	0.000	0.000														
6.150	-0.175	0.873	43.633	-0.0042	0.021	1.042	6.150	0.140	0.000	43.633	0.0033	0.000	1.042	1.230	0.000	0.000	0.000	0.0000	0.000	0.000														
6.160	-0.157	0.873	7.216E-14	-0.0037	0.021	0.000	6.160	0.140	0.000	-43.633	0.0033	0.000	-1.042	1.232	0.000	0.000	0.000	0.0000	0.000	0.000														
6.170	-0.157	0.873	-1.871E-12	-0.0037	0.021	-4.632E-14	6.170	0.140	-0.873	-43.633	0.0033	-0.021	-1.042	1.234	0.000	0.000	0.000	0.0000	0.000	0.000														
6.180	-0.140	0.873	-1.976E-12	-0.0033	0.021	-4.632E-14	6.180	0.122	-0.873	43.633	0.0029	-0.021	1.042	1.236	0.000	0.000	0.000	0.0000	0.000	0.000														
6.190	-0.140	0.873	1.904E-12	-0.0033	0.021	4.632E-14	6.190	0.122	0.000	-1.937E-12	0.0029	0.000	-4.632E-14	1.238	0.000	0.000	0.000	0.0000	0.000	0.000														
6.200	-0.122	0.873	1.937E-12	-0.0029	0.021	4.632E-14	6.200	0.122	-0.873	-43.633	0.0029	-0.021	-1.042	1.240	0.000	0.000	0.000	0.0000	0.000	0.000														
6.210	-0.122	0.873	-1.937E-12	-0.0029	0.021	-4.632E-14	6.210	0.105	-0.873	43.633	0.0025	-0.021	1.042	1.242	0.000	0.000	0.000	0.0000	0.000	0.000														
6.220	-0.105	0.873	-1.904E-12	-0.0025	0.021	-4.736E-14	6.220	0.105	0.000	43.633	0.0025	0.000	1.042	1.244	0.000	0.000	0.000	0.0000	0.000	0.000														
6.230	-0.105	0.873	1.976E-12	-0.0025	0.021	4.510E-14	6.230	0.105	0.000	-43.633	0.0025	0.000	-1.042	1.246	0.000	0.000	0.000	0.0000	0.000	0.000														
6.240	-0.087	0.873	1.904E-12	-0.0021	0.021	4.736E-14	6.240	0.105	-0.873	-43.633	0.0025	-0.021	-1.042	1.248	0.000	0.000	0.000	0.0000	0.000	0.000														
6.250	-0.087	0.873	-1.976E-12	-0.0021	0.021	-4.510E-14	6.250	0.087	-0.873	43.633	0.0021	-0.021	1.042	1.250	0.000	0.000	0.000	0.0000	0.000	0.000														
6.260	-0.070	0.873	-1.937E-12	-0.0017	0.021	-4.632E-14	6.260	0.087	0.000	1.976E-12	0.0021	0.000	4.510E-14	1.252	0.000	0.000	-1090.831	0.0000	0.000	-26.042														
6.270	-0.070	0.873	43.633	-0.0017	0.021	1.042	6.270	0.087	-0.873	-43.633	0.0021	-0.021	-1.042	1.254	0.000	-4.363	-1090.831	0.0000	-0.104	-26.042														
6.280	-0.052	1.745	1.954E-12	-0.0012	0.042	4.562E-14	6.280	0.070	-0.873	43.633	0.0017	-0.021	1.042	1.256	-0.017	-4.363	1090.831	-4.1667E-4	-0.104	26.042														
6.290	-0.035	0.873	-43.633	-8.3333E-4	0.021	-1.042	6.290	0.070	0.000	1.937E-12	0.0017	0.000	4.632E-14	1.258	-0.017	0.000	1090.831	-4.1667E-4	0.000	26.042														
6.300	-0.035	0.873	-1.943E-12	-8.3333E-4	0.021	-4.597E-14	6.300	0.070	-0.873	-43.633	0.0017	-0.021	-1.042	1.260	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000														
6.310	-0.017	0.873	1.937E-12	-4.1667E-4	0.021	4.632E-14	6.310	0.052	-0.873	43.633	0.0012	-0.021	1.042	1.262	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000														
6.320	-0.017	0.873	1.937E-12	-4.1667E-4	0.021	4.632E-14	6.320	0.052	0.000	43.633	0.0012	0.000	1.042	1.264	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000														
6.330	0.000	0.873	-1.937E-12	0.0000	0.021	-4.632E-14	6.330	0.052	0.000	-43.633	0.0012	0.000	-1.042	1.266	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000														
6.340	0.000	0.873	43.633	0.0000	0.021	1.042	6.340	0.052	-0.873	-43.633	0.0012	-0.021	-1.042	1.268	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000														
6.350	0.017	1.745	1.937E-12	4.1667E-4	0.042	4.632E-14	6.350	0.035	-0.873	43.633	8.3333E-4	-0.021	1.042	1.270	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000														
6.360	0.035	0.873	-43.633	8.3333E-4	0.021	-1.042	6.360	0.035	0.000	-1.932E-12	8.3333E-4	0.000	-4.649E-14	1.272	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000														
6.370	0.035	0.873	-1.932E-12	8.3333E-4	0.021	-4.649E-14	6.370	0.035	-0.873	-43.633	8.3333E-4	-0.021	-1.042	1.274	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000														
6.380	0.052	0.873	-1.954E-12	0.0012	0.021	-4.562E-14	6.380	0.017	-0.873	43.633	4.1667E-4	-0.021	1.042	1.276	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000														
6.390	0.052	0.873	1.921E-12	0.0012	0.021	4.684E-14	6.390	0.017	0.000	43.633	4.1667E-4	0.000	1.042	1.278	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000														
6.400	0.070	0.873	1.937E-12	0.0017	0.021	4.632E-14	6.400	0.017	0.000	-43.633	4.1667E-4	0.000	-1.042	1.280	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000														
6.410	0.070	0.873	0.000	0.0017	0.021	0.000	6.410	0.017	-0.873	-43.633	4.1667E-4	-0.021	-1.042	1.282	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000														
6.420	0.087	0.873	-1.904E-12	0.0021	0.021	-4.736E-14	6.420	0.000	-0.873	43.633	0.0000	-0.021	1.042	1.284	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000														
6.430	0.087	0.873	-1.904E-12	0.0021	0.021	-4.736E-14	6.430	0.000	0.000	43.633	0.0000	0.000	1.042	1.286	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000														
6.440	0.105	0.873	1.904E-12	0.0025	0.021	4.736E-14	6.440	0.000	0.000	0.000	0.0000	0.000	0.000	1.288	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000														
6.450	0.105	0.873	1.904E-12	0.0025	0.021	4.736E-14	6.450	0.000	0.000	-43.633	0.0000	0.000	-1.042	1.290	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000														
6.460	0.122	0.873	-1.937E-12	0.0029	0.021	-4.632E-14	6.460	0.000	-0.873	-43.633	0.0000	-0.021	-1.042	1.292	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000														
6.470	0.122	0.873	-1.937E-12	0.0029	0.021	-4.632E-14	6.470	-0.017	-0.873	43.633	-4.1667E-4	-0.021	1.042	1.294	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000														
6.480	0.140	0.873	1.976E-12	0.0033	0.021	4.632E-14	6.480	-0.017	0.000	43.633	-4.1667E-4	0.000	1.042	1.296	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000														
6.490	0.140	0.873	1.976E-12	0.0033	0.021	4.632E-14	6.490	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	1.298	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000														
6.500	0.157	0.873	-2.010E-12	0.0037	0.021	-4.632E-14	6.500	-0.017	0.000	-43.633	-4.1667E-4	0.000	-1.042	1.300	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000														
6.510	0.157	0.873	-2.010E-12	0.0037	0.021	-4.632E-14	6.510	-0.017	-0.873	-43.633	-4.1667E-4	-0.021	-1.042	1.302	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000														
6.520	0.175	0.873	-43.633	0.0042	0.021	-1.042	6.520	-0.035	-0.873	43.633	-8.3333E-4	-0.021	1.042	1.304	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000														
6.530	0.175	0.000	2.010E-12	0.0042	0.000	4.632E-14	6.530	-0.035	0.000	43.633	-8.3333E-4	0.000	1.042	1.306	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000														
6.540	0.175	0.873	43.633	0.0042	0.021	1.042	6.540	-0.035	0.000	0.000	-8.3333E-4	0.000	0.000	1.308	-0.017	0.000	-1090.831	-4.1667E-4	0.000	-26.042														
6.550	0.192	0.873	-1.943E-12	0.0046	0.021	-4.857E-14	6.550	-0.035	0.000	0.000	-8.3333E-4	0.000	0.000	1.310	-0.017	-4.363	-1090.831	-4.1667E-4	-0.104	-26.042														
6.560	0.192	0.873	1.943E-12	0.0046	0.021	4.406E-14	6.560	-0.035	0.000	0.000	-8.3333E-4	0.000	0.000	1.312	-0.035	-4.363	1090.831	-8.3333E-4	-0.104	26.042														
6.570	0.209	0.873	-43.633	0.0050	0.021	-1.042	6.570	-0.035	0.000	-43.633	-8.3333E-4	0.000	-1.042	1.314	-0.035	0.000	1090.831	-8.3333E-4	0.000	26.042														
6.580	0.209	0.000	-43.633	0.0050	0.000	-1.042	6.580	-0.035	-0.873	-43.633	-8.3333E-4	-0.021	-1.042	1.316	-0.035	0.000	0.000	-8.3333E-4	0.000	0.000														
6.590	0.209	0.000	43.633	0.0050	0.000	1.042	6.590	-0.052	-0.873	43.633	-0.0012	-0.021	1.042	1.318	-0.035	0.000	0.000	-8.3333E-4	0.000	0.000														
6.600	0.209	0.873	43.633	0.0050	0.021	1.042	6.600	-0.052	0.000	43.633	-0.0012	0.000	1.042	1.320	-0.035	0.000	0.000	-8.3333E-4	0.000	0.000														
6.610	0.227	0.873	-43.633	0.0054	0.021	-1.042	6.610	-0.052	0.000	0.000	-0.0012	0.000	0.000	1.322	-0.035	0.000	0.000	-8.3333E-4	0.000	0.000														
6.620	0.227	0.000	-43.633	0.0054	0.000	-1.042	6.620	-0.052	0.000	0.000	-0.0012	0.000	0.000	1.324	-0.035	0.000	0.000	-8.3333E-4	0.000	0.000														
6.630	0.227	0.000	43.633	0.0054	0.000	1.042	6.630	-0.052	0.000	0.000	-0.0012	0.000	0.000	1.326	-0.035	0.000	0.000	-8.3333E-4	0.000	0.000														
6.640	0.227	0.873	43.633	0.0054	0.021	1.042	6.640	-0.052	0.000	0.000	-0.0012	0.000	0.000	1.328	-0.035	0.000	0.000	-8.3333E-4	0.000	0.000														
6.650	0.244	0.873	-43.633	0.0058	0.021	-1.042	6.650	-0.052	0.000	0.000	-0.0012	0.000	0.000	1.330	-0.035	0.000	0.000	-8.3333E-4	0.000	0.000														
6.660	0.244	0.000	-43.633	0.0058	0.000	-1.042	6.660	-0.052	0.000	0.000	-0.0012	0.000	0.000	1.332	-0.035	0.000	0.000	-8.3333E-4	0.000	0.000														
6.670	0.244	0.000	0.000	0.0058	0.000	0.000	6.670	-0.052	0.000	0.000	-0.0012	0.000	0.000	1.334	-0.035	0.000	0.000	-8.3333E-4	0.000	0.000														
6.680	0.244	0.000	0.000	0.0058	0.000	0.000	6.680	-0.052	0.000	0.000	-0.0012	0.000	0.000	1.336	-0.035	0.000	0.000	-8.3333E-4	0.000	0.000														
6.690	0.244	0.000	0.000	0.0058	0.000	0.000	6.690	-0.052	0.000	0.000	-0.0012	0.000	0.000	1.338	-0.035	0.000	0.000	-8.3333E-4	0.000	0.000														
6.700	0.244	0.000	0.000	0.0058	0.000	0.000	6.700	-0.052	0.000	0.000	-0.0012	0.000	0.000	1.340	-0.035	0.000	0.000	-8.3333E-4	0.000	0.000														
6.710	0.244	0.000	0.000	0.0058	0.000	0.000	6.710	-0.052	0.000	0.000	-0.0012	0.000	0.000	1.342	-0.035	0.000	0.000	-8.3333E-4	0.000	0.000														
6.720	0.244	0.000	0.000	0.0058	0.000	0.000	6.720	-0.052	0.000	0.000	-0.0012	0.000	0.000	1.344	-0.035	0.000	0.000	-8.3333E-4	0.000	0.000														
6.730	0.244	0.000	0.000	0.0058	0.000	0.000	6.730	-0.052	0.000	0.000	-0.0012	0.000	0.000	1.346	-0.035	0.000	0.000	-8.3333E-4	0.000	0.000														
6.740	0.244	0.000	0.000	0.0058	0.000	0.000	6.740	-0.052	0.000	0.000	-0.0012	0.000	0.000	1.348	-0.035	0.000	0.000	-8.3333E-4	0.000	0.000														
6.750	0.244	0.000	0.000	0.0058	0.000	0.000	6.750	-0.052	0.000	0.000	-0.0012	0.000	0.000	1.350	-0.035	0.000	0.000	-8.3333E-4	0.000	0.000														
6.760	0.244	0.000	0.000	0.0058	0.000	0.000	6.760	-0.052	0.000	0.000	-0.0012	0.000	0.000	1.352	-0.035	0.000	-1090.831	-8.3333E-4	0.000	-26.042														
6.770	0.244	0.000	0.000	0.0058	0.000	0.000	6.770	-0.052	0.000	43.633	-0.0012	0.000	1.042	1.354	-0.035	-4.363	-1090.831	-8.3333E-4	-0.104	-26.042														
6.780	0.244	0.000	0.000	0.0058	0.000	0.000	6.780	-0.052	0.873	43.633	-0.0012	0.021	1.042	1.356	-0.052	-4.363	1090.831	-0.0012	-0.104	26.042														
6.790	0.244	0.000	0.000	0.0058	0.000	0.000	6.790	-0.035	0.873	-43.633	-8.3333E-4	0.021	-1.042	1.358	-0.052	0.000	1090.831	-0.0012	0.000	26.042														
6.800	0.244	0.000	0.000	0.0058	0.000	0.000	6.800	-0.035	0.000	-43.633	-8.3333E-4	0.000	-1.042	1.360	-0.052	0.000	0.000	-0.0012	0.000	0.000														
6.810	0.244	0.000	0.000	0.0058	0.000	0.000	6.810	-0.035	0.000	0.000	-8.3333E-4	0.000	0.000	1.362	-0.052	0.000	0.000	-0.0012	0.000	0.000														
6.820	0.244	0.000	-43.633	0.0058	0.000	-1.042	6.820	-0.035	0.000	0.000	-8.3333E-4	0.000	0.000	1.364	-0.052	0.000	0.000	-0.0012	0.000	0.000														
6.830	0.244	-0.873	-43.633	0.0058	-0.021	-1.042	6.830	-0.035	0.000	43.633	-8.3333E-4	0.000	1.042	1.366	-0.052	0.000	0.000	-0.0012	0.000	0.000														
6.840	0.227	-0.873	43.633	0.0054	-0.021	1.042	6.840	-0.035	0.873	43.633	-8.3333E-4	0.021	1.042	1.368	-0.052	0.000	0.000	-0.0012	0.000	0.000														
